Question_Title,Question_ID,Author_Name,Author_ID,Author_Rep,Question_Post_Time,Question_Score,Number_Of_Views,Number_Of_Answers,Number_Of_Comments,"Edited,","Answer_Accepted,",Tags,Question_Closed
"""Select All"" in Table is now sending too much data to Server via API - Alternative Ways to Send to Server?",444003,bluedevil2k,426966,101,2023-02-16 14:56:47,0,52,0,2,False,False,"['architecture', 'javascript', 'reactjs', 'stream-processing', 'apache-kafka']",False
Avoiding modification of multiple aggregate roots in one transaction,444000,deamon,63946,864,2023-02-16 13:37:37,2,67,1,1,True,False,"['domain-driven-design', 'aggregate']",False
How to use Github Copilot for business software evolution (if possible at all)?,443993,TomR,229289,1003,2023-02-16 10:18:43,-3,110,1,1,True,False,"['github', 'code-generation']",False
Arrow head for a reply message in UML Sequence Diagram,443992,koppor,52607,507,2023-02-16 09:38:56,3,68,2,0,True,True,"['uml', 'sequence-diagram']",False
What would be a good metric of quality of a single bug fix?,443982,ayowhatthedogdoin,426976,47,2023-02-15 23:13:12,2,228,3,3,True,True,"['code-quality', 'issue-tracking', 'metrics']",False
What is a professional format for blackbox debugging someone else’s app and submitting a report to them?,443980,John Smith,401974,157,2023-02-15 22:04:54,1,104,1,5,True,False,"['issue-tracking', 'bug-report']",False
Is there a common name for a 'proxy' document that's stored in a search index? [closed],443977,Joe,7111,229,2023-02-15 11:45:17,0,56,0,6,True,False,"['search', 'search-engine']",True
Should story points be re-estimated when rolling un-finished stories into next sprint?,443971,Mr. Boy,104623,231,2023-02-15 09:40:01,2,139,4,2,False,False,"['agile', 'user-story', 'sprint', 'azure-devops']",False
Any Existing Framework for Determining Sequence of Tables to Update Based on a Set Schema of Variables that can Change? [closed],443966,StingRay21,426920,105,2023-02-14 19:34:20,-2,27,0,1,False,False,"['java', 'database', 'frameworks', 'oracle']",True
Should I use my View Model to Test my Views in SwiftUI?,443962,john doe,242572,141,2023-02-14 16:51:53,0,82,1,5,True,False,"['unit-testing', 'testing', 'ios']",False
Aggregating responses from several services with reversed proxy (API gateway): where to place code?,443961,Maxim Zabolotskikh,351542,141,2023-02-14 15:50:47,1,71,1,3,True,True,"['microservices', 'web-api', 'api-gateway']",False
How to deal with mixing models between services?,443960,JRhodes,426912,19,2023-02-14 15:34:52,1,53,1,2,False,False,"['rest', 'architectural-patterns', 'services']",False
"Should serialization and deserialization be ""atomic"" transactions?",443941,Patrick Wright,400494,387,2023-02-13 17:13:17,16,5000,10,10,True,False,['serialization'],False
Is in my case role based access better than permissions?,443938,manimerz,426864,21,2023-02-13 15:25:18,1,121,3,0,False,True,"['design', 'design-patterns', 'refactoring', 'engineering', 'permissions']",False
One api or a way to share backend [closed],443936,JTuc,426860,21,2023-02-13 14:25:08,1,39,0,3,False,False,"['architecture', '.net']",True
How to come up with artifacts for an application [closed],443932,chaitanya dama,426852,1,2023-02-13 11:32:30,-3,27,0,2,False,False,"['design', 'architecture']",True
How to design a database wherein multiple tags(string) are to be associated with an id per user?,443931,AncientSwordRage,42685,1033,2023-02-13 10:59:00,0,49,1,0,True,False,"['database', 'database-design', 'eav-model']",False
Refactoring: where should master data reside?,443929,user15110545,426849,11,2023-02-13 09:53:11,0,45,0,0,False,False,"['design', 'java', 'refactoring']",False
"What are my options for creating an easily distributable, self-managed web application? [closed]",443924,Sal,386482,125,2023-02-13 00:49:35,-2,57,0,1,False,False,"['open-source', 'docker', 'distribution']",True
How to apply TDD to very high level functionality?,443921,charlieshades,187165,220,2023-02-12 21:28:39,3,334,7,3,True,False,"['testing', 'tdd', 'methodology']",False
Is it an acceptable pattern to put derived classes inside an abstract base class in Java?,443919,micheal65536,214338,209,2023-02-12 19:03:12,1,77,1,2,False,False,"['java', 'design-patterns', 'inheritance', 'patterns-and-practices', 'project-structure']",False
File I/O - How HDD or SSD works with OS file system? [closed],443917,obanadingyo,426827,113,2023-02-12 18:14:09,1,124,3,0,True,True,"['file-systems', 'io']",True
Where do unit tests stop and integration tests begin according to the classical school of unit testing?,443916,B-Rad,127028,183,2023-02-12 16:19:14,1,112,2,4,True,True,"['unit-testing', 'testing', 'tdd', 'integration-tests']",False
Scheduling Algorithm that Maximizes Gaps Between Participants’ Appearances,443911,Daniel Rozeboom,426808,19,2023-02-12 03:06:46,1,98,2,0,False,False,"['algorithms', 'scheduling']",False
"REST API design - Categorised response objects - All, Sub, Dub movies paged response",443910,don,415411,1,2023-02-11 19:59:54,0,57,0,1,True,False,"['design', 'design-patterns', 'architecture', 'web-development', 'rest']",False
How to write maintainable unit tests using classical style of unit testing,443908,dbird,426795,127,2023-02-11 15:52:54,1,119,1,6,False,False,"['unit-testing', 'testing', 'mocking']",False
Implementing custom per-instance note/status in recurring calendar events,443905,Maciej Pszczolinski,343027,412,2023-02-11 13:01:20,0,11,0,3,True,False,['modeling'],False
Where to control optimistic concurrency in a domain-driven design (DDD) application?,443904,Álvaro García,412921,287,2023-02-11 10:51:27,1,89,2,4,False,True,"['c#', 'concurrency']",False
How can a web application distinguish between sessions from trusted and non-trusted devices?,443901,Alexey Romanov,33636,1467,2023-02-11 09:28:50,0,40,1,1,False,False,"['web-development', 'web-applications', 'authentication']",False
"Handling competing requests for the same ""id"" in different Kubernetes PODs",443899,Carlos Rodrigues,406161,3,2023-02-11 03:39:07,0,18,0,0,False,False,"['concurrency', 'distributed-system', 'kubernetes']",False
Are indirect implicit type declerations dangerous?,443897,Uroš Jarc,426780,109,2023-02-10 23:58:30,0,81,1,10,False,False,"['programming-languages', 'compiler']",False
load testing - spike vs stress to determine performance,443887,juztcode,362043,139,2023-02-10 07:33:24,0,45,1,7,False,False,"['data', 'load-testing']",False
Dispatching different events in consistent order to event handlers in c++,443885,Wei Qiu,111932,181,2023-02-10 04:49:06,0,36,0,4,False,False,"['design', 'c++', 'event-sourcing']",False
How do I re-use code in an Azure release pipeline?,443884,John Wu,115084,25600,2023-02-09 22:54:53,0,27,0,0,False,False,"['azure', 'devops']",False
Seperate related repos or create a single repo for the whole project? [duplicate],443880,Hilow,426726,11,2023-02-09 18:42:37,0,64,2,2,False,True,['github'],False
Is it secured to accept and execute user provided CURL commands,443873,Youans,92003,411,2023-02-09 09:48:51,0,148,1,2,False,True,"['design', 'java', 'architecture', 'security', 'linux']",False
Structure and usage of complex React components,443865,Pavel Štěrba,116766,301,2023-02-08 09:40:34,0,28,0,17,True,False,"['composition', 'reactjs', 'react']",False
Specification pattern and maintaining domain logic inside entity,443861,user1796516,147864,33,2023-02-08 07:54:16,1,129,1,2,True,True,"['design-patterns', 'object-oriented', 'domain-driven-design', 'specifications']",False
Business Rule Engine - Postgresql [closed],443859,Senthil,426654,13,2023-02-08 07:03:41,0,85,1,4,False,True,"['mongodb', 'postgres', 'business-rules', 'elasticsearch', 'rules-engine']",True
Queue for tasks and notifications,443851,Markus Knappen Johansson,360411,166,2023-02-07 21:14:40,0,38,1,10,True,False,"['message-queue', 'queueing']",False
Is it code smell to make an abstract child class override a parent method which only calls its own abstract method,443848,Cave Johnson,209349,73,2023-02-07 19:47:13,0,92,2,0,False,False,"['php', 'language-agnostic', 'abstract-class']",False
Using Repository Pattern with .NET Entity Framework with a single Get method with optional parameters for each table include,443842,Veverke,177832,371,2023-02-07 14:08:32,0,83,3,1,True,False,"['architectural-patterns', 'entity-framework', 'repository-pattern']",False
Unit testing with dependency on Word COM objects: Wrappers & interfaces vs document as an embedded resource,443840,Peter,381069,111,2023-02-07 13:12:01,0,59,0,6,True,False,"['unit-testing', 'dependencies']",False
How can lossless compression ever exist?,443832,Mercury,426615,465,2023-02-07 09:16:20,29,15000,7,0,True,True,"['algorithms', 'theory', 'compression']",False
How can I secure the backend in a meaningful way when users log in via OAuth2 in the frontend?,443829,samjaf,426005,121,2023-02-07 07:57:31,0,36,0,0,False,False,"['rest', 'authentication', 'oauth2']",False
How to link many large strings in a maintainable way,443828,scidhuv,426611,29,2023-02-07 07:47:30,1,141,3,3,True,False,['strings'],False
How to Represent actions in a UML state diagram that may be executed from a base state or as a result of another action from that state,443827,Ben Jaguar Marshall,58903,101,2023-02-07 07:09:10,0,42,1,1,False,False,"['uml', 'diagrams', 'finite-state-machine']",False
How to refactor parallel inheritance tree?,443817,nrob,426589,109,2023-02-06 14:28:27,0,73,1,2,True,False,"['design', 'design-patterns', 'php', 'inheritance', 'hierarchy']",False
Is adding functions to a namespace/module after imports an anti-pattern?,443815,MYK,410059,303,2023-02-06 14:12:29,1,164,3,1,True,True,['python'],False
How should I design a data flow diagram between two systems with integrations using REST API and webhooks?,443814,efaitchjay,426587,9,2023-02-06 13:21:33,-1,21,0,1,False,False,"['rest', 'api', 'diagrams', 'integration', 'data-flow-diagram']",False
How should I approach the development of an app with an parallel independent library?,443813,ImZac,426579,21,2023-02-06 13:11:40,1,84,1,2,False,True,"['web-development', 'web-applications', 'libraries']",False
Howto design a Rest-Client in c# the right way?,443810,Michael,426578,9,2023-02-06 10:06:28,0,76,0,1,True,False,"['c#', 'architecture', 'rest']",False
How to manage immutable objects (specifically Java records),443804,Chris,289163,133,2023-02-05 22:13:50,2,303,1,1,True,True,"['java', 'immutability']",False
Manage multiple projects in the same DDD subcontext,443799,Kiske1,426556,111,2023-02-05 17:33:29,0,51,1,0,True,True,"['domain-driven-design', 'legacy']",False
Are there any drawbacks to partial application?,443797,kaan_a,307447,155,2023-02-05 15:52:06,0,109,1,3,True,False,"['design-patterns', 'functional-programming', 'state']",False
Why do we need middleware in FASTapi?,443796,filtertips,426551,117,2023-02-05 15:09:03,-1,61,1,5,True,True,"['api', 'middleware']",False
Generating grid shell coordinates,443784,xytor,425534,111,2023-02-04 18:16:26,0,49,1,6,True,True,['algorithms'],False
Is KAOS goal modeling used in the industry?,443783,Bharel,220193,137,2023-02-04 17:53:59,-1,105,1,2,False,False,"['requirements', 'modeling']",False
stress testing an application and failing at database connection,443782,juztcode,362043,139,2023-02-04 17:35:57,2,130,1,1,False,True,"['postgres', 'tcp']",False
Where do most development teams compile and run their code to test it? [closed],443780,netcloud45,426532,13,2023-02-04 16:29:03,-2,160,1,5,True,True,"['software', 'team']",True
What is the recommended approach for loading a Java Keystore from memory in a SpringBoot application running in a Docker container?,443778,goodspeed,44047,167,2023-02-04 14:40:17,-1,36,1,3,True,False,"['java', 'docker', 'spring-boot']",False
How to achieve high performance routing to Kinesis streams?,443775,Regyn,374484,157,2023-02-04 14:06:02,0,26,0,2,False,False,"['aws', 'stream-processing']",False
"How to seamlessly interact with a message broker when the underlying system (SQS, RabbitMQ) can change depending on the environment?",443774,kant312,189545,111,2023-02-04 13:19:37,0,46,1,10,True,True,"['interfaces', 'message-queue', 'abstraction', 'hexagonal-architecture']",False
Global objects vs free functions C++?,443771,SomethingBetter,424194,33,2023-02-04 08:54:55,3,256,5,0,False,True,['c++'],False
Best practice for updating object fields (with values calculated in methods),443757,Lord Cat,205676,139,2023-02-03 13:37:18,1,59,2,3,False,False,"['object-oriented', 'code-quality', 'clean-code']",False
"Is it a bad practice to include fields on DELETE requests that will enforce them, but only in on certain environments? [closed]",443756,fedest,363053,119,2023-02-03 13:33:09,0,116,3,2,False,True,"['api-design', 'web-api']",True
"Speed up implementation of ""log transform"" on 2D image",443751,kwsp,365292,129,2023-02-03 02:17:25,2,123,0,0,True,False,"['c++', 'performance']",False
Is there any advantage of pushing branches to GitHub without an associated PR?,443746,Pedro Delfino,389411,129,2023-02-02 17:32:00,-1,261,2,0,False,True,"['git', 'github', 'branching', 'pull-requests']",False
Architecture review for desktop application with distributed components,443735,Varunkumar Manohar,426425,119,2023-02-01 21:50:34,1,88,1,1,False,False,"['architectural-patterns', 'desktop-application']",False
can partial optimized Bozosort improve speed of sorting?,443733,Nick,164942,295,2023-02-01 18:01:10,2,144,1,3,True,False,"['algorithms', 'sorting']",False
What is the correct way to deal with Pull Request updates concerning an interface with a Continuous Integration script: rebase or merge?,443732,Pedro Delfino,389411,129,2023-02-01 18:00:30,0,78,1,2,False,True,"['git', 'continuous-integration', 'github', 'merging', 'pull-requests']",False
Microservices Pattern - Downstream Services Registering Themselves with an Upstream Orchestrator?,443729,underzealous-apricot,426407,21,2023-02-01 16:16:07,1,101,1,0,True,False,"['microservices', 'architectural-patterns']",False
Reuse and sharing with primitives,443726,Matthijs Steen,426405,119,2023-02-01 14:12:17,1,104,0,4,True,False,['patterns-and-practices'],False
Dependency injection in legacy code,443719,Ruslan,426312,9,2023-02-01 09:47:08,0,152,4,0,False,False,"['c++', 'unit-testing', 'dependency-injection']",False
A feature branch on top of another feature branch (dealing with PRs),443713,mgNobody,266348,119,2023-02-01 03:50:00,0,83,2,1,True,True,"['git', 'github', 'gitflow']",False
Most efficient way to represent a random ordering of the numbers 0-10,443709,DK13,423032,29,2023-01-31 23:10:08,1,220,4,6,False,False,"['design-patterns', 'algorithms']",False
Capture a time-ordered sequence of item-level modifications via events when using Amazon Aurora,443706,x80486,175557,119,2023-01-31 19:15:15,1,54,1,3,True,False,"['architecture', 'event-programming', 'distributed-system']",False
Is it better to override methods in classes or make methods general?,443690,Diegol,426344,1,2023-01-31 00:23:33,-1,134,3,4,False,False,"['design', 'database', 'python', 'object-oriented-design', 'inheritance']",False
Choosing one of two memory blocks to deallocate: Does age affect fragmentation?,443689,Da Spud Lord,426343,89,2023-01-30 23:43:52,8,195,3,1,False,False,"['performance', 'optimization', 'memory']",False
What is the best way to design a heavy lookup web app?,443688,713sean,426304,27,2023-01-30 23:19:36,2,215,1,0,False,True,"['database', 'aws', 'backend']",False
Message broker design pattern best practice [closed],443684,Giox,384072,109,2023-01-30 17:47:08,0,62,2,10,False,False,"['message-queue', 'apache-kafka', 'rabbitmq', 'amqp']",True
Is it okay to extend more than one class if a new type/feature is needed?,443677,lorenz albert,426317,121,2023-01-30 12:49:03,1,345,2,7,False,True,"['c#', 'object-oriented', 'extensibility', 'open-closed-principle']",False
In which layer request parameter limit should be for an external endpoint?,443675,f.smith,424030,170,2023-01-30 11:24:40,0,45,2,4,False,False,"['mvc', 'backend']",False
What is the convention for deciding which resource to place an endpoint under? [closed],443670,oamandawi,358037,101,2023-01-30 01:07:35,-1,33,1,0,False,True,"['design', 'web-development', 'api', 'api-design']",True
Trie data for searches in time ranges,443667,alves,426216,101,2023-01-29 21:03:30,0,71,1,2,False,False,"['design', 'api-design', 'data-structures', 'trees']",False
How can a third-party site know your identity on other sites (e.g. Off-Facebook Activity)? [closed],443653,gcr,379938,95,2023-01-29 07:10:25,-3,71,1,2,False,False,"['cookies', 'facebook', 'tracking']",True
"design pattern advice on method of ""injecting"" html in React",443649,Leftover Salad,382678,153,2023-01-28 19:24:37,0,68,1,17,True,True,"['typescript', 'reactjs']",False
Doubts how to design a card game in DDD,443646,Álvaro García,412921,287,2023-01-28 16:11:22,1,159,1,2,True,True,['domain-driven-design'],False
Many if conditions,443639,Codemenot,426226,21,2023-01-27 23:18:51,0,141,1,4,False,False,"['design', 'algorithms', 'conditions', 'pseudocode']",False
Efficient Schema For Pairing Styling Metadata with Text Fields in JSON Messages,443637,CCD,369919,143,2023-01-27 22:01:57,1,50,1,10,True,True,"['json', 'messaging', 'schema']",False
Better way to represent grammar symbols in C,443630,Mehdi Charife,422811,135,2023-01-27 15:11:29,-1,137,1,0,False,True,"['design', 'c', 'compiler', 'parsing', 'memory-usage']",False
Improve performance for HTTP Request with huge body,443625,Jolly,377754,111,2023-01-27 09:20:17,1,135,2,1,True,False,"['web-api', 'http-request', 'pagination']",False
"If ""others have modified components since you checked out the system"", what would you do?",443615,Tim,699,5375,2023-01-26 22:05:53,0,210,2,6,True,False,"['git', 'version-control', 'continuous-integration']",False
DDD - How to avoid validation rule duplication,443613,Douglas Monteiro,425507,29,2023-01-26 20:35:21,0,155,1,0,True,True,"['object-oriented', 'domain-driven-design', 'clean-architecture']",False
Unit Testing Internal Classes,443608,user12994244,426180,37,2023-01-26 18:32:41,2,162,3,0,False,False,"['unit-testing', 'qa', 'methodology']",False
Best practices for managing different libraries for variations of a sensor [closed],443603,Rico,368723,39,2023-01-26 16:12:01,0,47,1,3,True,True,"['c++', 'embedded-systems']",True
Is it ok to save all fields of an entity as a string if it should not be changed?,443601,AhuraMazda,426168,109,2023-01-26 14:23:54,-1,259,3,1,False,True,"['design', 'java', 'database', 'entity']",False
Should singular resource returns 404 or empty body in RESTful api [duplicate],443589,unional,326379,149,2023-01-26 01:56:43,0,23,0,2,True,False,['api-design'],False
How to deal with constants that are shared between multiple packages?,443587,Jossy,367981,301,2023-01-25 22:46:17,1,135,2,1,True,True,"['python', 'packages', 'constants']",False
Is inheritance in use case diagrams between actors limited to one specific diagram,443585,Mr Lukas,426136,23,2023-01-25 20:39:08,1,51,2,1,False,True,"['uml', 'use-case']",False
SSO Application Storing a Custom Secret in the User Profile,443584,Peter Moore,424678,109,2023-01-25 20:06:08,0,40,0,2,False,False,"['security', 'encryption', 'sso']",False
How to store queryable 10-100MB BLOBs?,443581,Ivaylo Toskov,160526,129,2023-01-25 12:30:38,2,243,2,1,True,False,"['database', 'database-design', 'sql', 'machine-learning', 'blob']",False
Distributed in-memory producer consumer design,443575,lalala,362999,1,2023-01-25 07:53:37,-3,43,0,1,True,False,"['architecture', 'message-queue', 'distributed-system', 'distributed-computing', 'system-architecture']",False
Software Design: Decoupling when highly dependent on a third party library,443574,J. Lo,426109,21,2023-01-25 07:27:15,1,316,2,0,True,True,"['python', 'clean-code', 'coupling', 'third-party-libraries', 'protocol']",False
How to design a fifo coupon distribution system,443572,dev Joshi,426107,109,2023-01-25 06:08:42,0,54,1,3,True,False,"['design', 'distributed-system', 'semaphore']",False
Is there a design with fewer similar virtual functions? [migrated],443569,rkuang25,426098,11,2023-01-25 02:32:36,-1,114,0,5,True,False,"['design', 'c++', 'templates', 'virtual-functions']",False
How to unlock a locked enterprise architect diagram? [migrated],443564,Michel Keijzers,47065,325,2023-01-24 17:00:25,-1,6,0,6,True,False,"['uml', 'developer-tools', 'enterprise-architect']",False
How does injecting a concrete class expose implementation? [duplicate],443556,james,426055,113,2023-01-24 05:31:05,-2,164,2,2,False,False,"['interfaces', 'class', 'dependency-inversion']",False
Are interchangeable types a security vulnerability? Are they good vectors for attack?,443542,Anon,136084,3495,2023-01-23 09:19:58,1,226,3,1,False,False,"['c++', 'python', 'security', 'dynamic-typing', 'static-typing']",False
How to Represent Functional Boolean,443531,TIKSN,82231,109,2023-01-22 18:52:54,0,219,2,5,True,False,"['c#', 'functional-programming', 'data-types', 'boolean']",False
"How do we define a ""step"" when calculating big O notation in an algorithm?",443530,Davis Kim,425993,21,2023-01-22 18:10:57,1,240,4,3,True,True,"['computer-science', 'big-o']",False
How to manage autorization for internal service to service communication in a microservice architecture?,443529,Dypso,285517,231,2023-01-22 16:24:00,1,73,1,2,False,False,"['microservices', 'security']",False
Design pattern for constructing and linking up objects that form a graph,443527,Pavlin,422077,159,2023-01-22 16:06:00,2,184,2,10,True,False,"['architecture', 'python']",False
Which techniques to follow to make a fast and consistent message consumer that writes to a RDBMS [closed],443514,Sujal Mandal,283938,131,2023-01-21 08:05:15,0,40,1,0,False,True,"['message-queue', 'producer-consumer', 'consistency']",True
"Refactoring instanceOf, moving logic to POJO when it has database interaction",443502,Accollativo,182520,459,2023-01-20 10:51:27,1,72,1,3,False,True,"['java', 'design-patterns', 'interfaces']",False
Some questions about shortest-path algorithms,443498,Dominique,250257,1699,2023-01-20 09:15:11,1,64,1,2,False,True,"['algorithms', 'graph', 'algorithm-analysis', 'dijkstra']",False
When has C or C++ made itself intentionally backwards incompatible? [closed],443497,Anon,136084,3495,2023-01-20 08:34:32,-3,122,1,0,True,True,"['c++', 'c', 'history', 'backward-compatibility', 'language-specifications']",True
"Why exactly was the C++ convenience of not requiring a second declaration, removed?",443494,Anon,136084,3495,2023-01-20 02:02:33,0,210,1,0,False,False,"['c++', 'history', 'static-methods', 'static', 'standardization']",False
How do you explain to the Product Owner that an error in a Web app is due to a browser quirk? [closed],443490,moonman239,164475,2023,2023-01-19 23:33:57,-5,86,1,1,False,True,"['communication', 'errors']",True
Where to specify UI views in a hierarchy of model objects?,443489,Anakhand,330471,187,2023-01-19 23:30:53,0,49,2,3,True,False,"['object-oriented', 'object-oriented-design', 'layers', 'separation-of-concerns']",False
How is it possible to store the AST nodes location in the source code?,443486,Iter Ator,236046,111,2023-01-19 19:59:02,0,62,1,2,False,True,"['programming-languages', 'data-structures', 'parsing', 'lexer']",False
Best way to handle versioning between a desktop product and a cloud product when one depends on the other,443479,ChapterSevenSeeds,425891,31,2023-01-19 15:43:28,2,109,1,0,True,True,"['versioning', 'release-management', 'desktop-application', 'cloud']",False
Do the maintainers of JavaScript remove features?,443464,Rongeegee,355519,157,2023-01-18 22:16:09,2,204,1,4,True,True,"['javascript', 'programming-languages']",False
Tradeoff: Fetching less data vs having a simpler data model,443463,tim,423558,131,2023-01-18 22:04:56,0,99,2,0,False,True,['data-modeling'],False
Why are commonly compiled languages not interpreted for faster iteration?,443462,gust,358008,367,2023-01-18 21:51:03,25,7000,10,1,True,False,['interpreters'],False
Is there an approach to keep a large number of conditionals maintainable,443460,SunflowerLuau,425840,41,2023-01-18 19:46:57,3,224,3,6,False,False,"['python', 'maintainability', 'programming-logic']",False
Do we need to test an integration of units if each unit has been tested against collaborator (mocks) and interface contracts?,443457,PhD,18748,2531,2023-01-18 18:28:10,0,70,1,3,True,False,"['design', 'unit-testing', 'integration-tests']",False
Best way to manage notifications via Azure Event Grid Topics and Azure Event Grid Subscriptions,443444,Simone,364778,127,2023-01-17 18:29:47,1,51,1,4,False,False,"['azure', 'eventgrid']",False
"N threads enter, one and only one should do extra processing that others wait for",443442,Violet Giraffe,29016,274,2023-01-17 15:59:13,4,297,3,1,False,False,['multithreading'],False
How to propagate seldomly changing data in a distributed system,443439,Harold L. Brown,344152,205,2023-01-17 14:47:30,3,179,2,0,False,False,"['data', 'distributed-system', 'messaging', 'event', 'metadata']",False
Extensive use of global variables in js codebase?,443435,amy,378198,111,2023-01-17 08:56:34,0,227,2,10,False,True,"['architecture', 'javascript', 'node.js']",False
Return type abstraction of a service layer that calls an API,443432,Achref RIAHI,425769,3,2023-01-17 07:31:16,0,54,1,7,False,True,"['api', 'microservices', 'coupling']",False
Raising new exceptions in Python backward-incompatible?,443426,Stéphane Bruckert,75658,344,2023-01-16 20:09:30,4,2000,2,4,False,False,"['python', 'backward-compatibility']",False
What are the benefits of keeping npm packages up-to-date? [closed],443423,Akaisteph7,425738,137,2023-01-16 17:02:45,1,103,1,0,False,False,"['javascript', 'node.js', 'dependencies', 'packages', 'npm']",True
Should web API controller actions that perform no async work always be declared as async?,443416,Veverke,177832,371,2023-01-16 08:00:36,3,212,1,2,False,True,"['web-api', 'asp.net-core', 'async']",False
"Storing both a compiled service for a Docker container as well as the container in a repository. Good practice, bad practice or no precedent?",443406,Crazy Dino,209406,312,2023-01-15 13:08:52,1,195,4,2,False,True,"['java', 'programming-practices', 'repository', 'docker']",False
Security of the cerfiticates in the client application in a gRPC service,443405,Álvaro García,412921,287,2023-01-15 12:45:23,0,40,0,17,True,False,"['certificate', 'grpc']",False
Using Gregorian Year vs using Mean Tropical Year,443399,An Ant,425693,149,2023-01-15 07:30:40,4,534,3,2,True,False,"['requirements', 'estimation', 'time', 'command-line']",False
API authentication for iOS applications,443397,Trenton,409366,17,2023-01-15 02:09:16,0,25,0,4,False,False,"['authentication', 'jwt', 'oauth']",False
Implementation of variables in JVM / Java,443394,tweekz,419128,49,2023-01-14 20:22:38,1,122,2,10,True,True,"['java', 'data-types', 'jvm', 'reference']",False
